Count;Name;Angle;Color;Delta X;Delta Y;Delta Z;End X;End Y;End Z;Hyperlink;Layer;Length;Linetype;Linetype Scale;Lineweight;Plot Style;Start X;Start Y;Start Z;Thickness
1;Line;261.73;ByLayer;-2.1389;-14.7188;0.0000;11946.0473;5281.1575;0.0000;;L_4;14.8734;ByLayer;1.0000;ByLayer;ByLayer;11948.1862;5295.8763;0.0000;0.0000
1;Line;261.76;ByLayer;-2.1310;-14.7129;0.0000;11954.5928;5340.0253;0.0000;;L_4;14.8665;ByLayer;1.0000;ByLayer;ByLayer;11956.7239;5354.7383;0.0000;0.0000
1;Line;261.77;ByLayer;-2.1282;-14.7108;0.0000;11956.7239;5354.7383;0.0000;;L_4;14.8639;ByLayer;1.0000;ByLayer;ByLayer;11958.8521;5369.4490;0.0000;0.0000
1;Line;261.75;ByLayer;-2.1335;-14.7148;0.0000;11952.4593;5325.3105;0.0000;;L_4;14.8687;ByLayer;1.0000;ByLayer;ByLayer;11954.5928;5340.0253;0.0000;0.0000
1;Line;261.74;ByLayer;-2.1374;-14.7178;0.0000;11948.1862;5295.8763;0.0000;;L_4;14.8722;ByLayer;1.0000;ByLayer;ByLayer;11950.3236;5310.5941;0.0000;0.0000
1;Line;261.74;ByLayer;-2.1357;-14.7164;0.0000;11950.3236;5310.5941;0.0000;;L_4;14.8706;ByLayer;1.0000;ByLayer;ByLayer;11952.4593;5325.3105;0.0000;0.0000
1;Line;97.32;ByLayer;-110.7575;862.5040;0.0000;12251.6342;6261.3671;0.0000;;L_7;869.5863;ByLayer;1.0000;ByLayer;ByLayer;12362.3917;5398.8631;0.0000;0.0000
1;Line;37.01;ByLayer;2231.3017;1682.0851;0.0000;11635.9830;8139.9763;0.0000;;L_3;2794.3010;ByLayer;1.0000;ByLayer;ByLayer;9404.6813;6457.8912;0.0000;0.0000
1;Line;59.64;ByLayer;1121.3946;1914.0769;0.0000;10526.0758;8371.9681;0.0000;;L_3;2218.3815;ByLayer;1.0000;ByLayer;ByLayer;9404.6813;6457.8912;0.0000;0.0000
1;Line;270.18;ByLayer;8.9561;-2902.9791;0.0000;11644.9391;5236.9972;0.0000;;L_3;2902.9929;ByLayer;1.0000;ByLayer;ByLayer;11635.9830;8139.9763;0.0000;0.0000
1;Line;0.00;ByLayer;1415.6398;0.0000;0.0000;13378.7383;5398.8631;0.0000;;L_4;1415.6398;ByLayer;1.0000;ByLayer;ByLayer;11963.0985;5398.8631;0.0000;0.0000
1;Line;0.00;ByLayer;294.6866;0.0000;0.0000;11939.6257;5236.9972;0.0000;;L_3;294.6866;ByLayer;1.0000;ByLayer;ByLayer;11644.9391;5236.9972;0.0000;0.0000
1;Line;217.01;ByLayer;-2231.3017;-1682.0851;0.0000;9404.6813;6457.8912;0.0000;;L_2;2794.3010;ByLayer;1.0000;ByLayer;ByLayer;11635.9830;8139.9763;0.0000;0.0000
1;Line;151.41;ByLayer;-2240.2579;1220.8940;0.0000;9404.6813;6457.8912;0.0000;;L_1;2551.3403;ByLayer;1.0000;ByLayer;ByLayer;11644.9391;5236.9972;0.0000;0.0000
1;Line;0.00;ByLayer;2955.5394;0.0000;0.0000;11644.9391;5236.9972;0.0000;;L_1;2955.5394;ByLayer;1.0000;ByLayer;ByLayer;8689.3998;5236.9972;0.0000;0.0000
1;Line;239.64;ByLayer;-715.2815;-1220.8940;0.0000;8689.3998;5236.9972;0.0000;;L_1;1414.9946;ByLayer;1.0000;ByLayer;ByLayer;9404.6813;6457.8912;0.0000;0.0000
1;Line;90.18;ByLayer;-8.9561;2902.9791;0.0000;11635.9830;8139.9763;0.0000;;L_2;2902.9929;ByLayer;1.0000;ByLayer;ByLayer;11644.9391;5236.9972;0.0000;0.0000
1;Line;331.41;ByLayer;2240.2579;-1220.8940;0.0000;11644.9391;5236.9972;0.0000;;L_2;2551.3403;ByLayer;1.0000;ByLayer;ByLayer;9404.6813;6457.8912;0.0000;0.0000
1;Line;97.32;ByLayer;-30.7514;239.4709;0.0000;12251.6342;6261.3671;0.0000;;L_6;241.4373;ByLayer;1.0000;ByLayer;ByLayer;12282.3856;6021.8961;0.0000;0.0000
1;Line;179.94;ByLayer;-880.3407;0.8862;0.0000;12282.3856;6021.8961;0.0000;;L_6;880.3412;ByLayer;1.0000;ByLayer;ByLayer;13162.7263;6021.0100;0.0000;0.0000
1;Line;0.36;ByLayer;825.8472;5.1610;0.0000;13077.4814;6266.5281;0.0000;;L_6;825.8633;ByLayer;1.0000;ByLayer;ByLayer;12251.6342;6261.3671;0.0000;0.0000
1;Line;0.00;ByLayer;399.2932;0.0000;0.0000;12362.3917;5398.8631;0.0000;;L_7;399.2932;ByLayer;1.0000;ByLayer;ByLayer;11963.0985;5398.8631;0.0000;0.0000
1;Line;289.15;ByLayer;85.2449;-245.5181;0.0000;13162.7263;6021.0100;0.0000;;L_6;259.8959;ByLayer;1.0000;ByLayer;ByLayer;13077.4814;6266.5281;0.0000;0.0000
1;Line;289.15;ByLayer;216.0120;-622.1469;0.0000;13378.7383;5398.8631;0.0000;;L_5;658.5802;ByLayer;1.0000;ByLayer;ByLayer;13162.7263;6021.0100;0.0000;0.0000
1;Line;180.00;ByLayer;-1495.3131;0.0000;0.0000;11939.6257;5236.9972;0.0000;;L_4;1495.3131;ByLayer;1.0000;ByLayer;ByLayer;13434.9388;5236.9972;0.0000;0.0000
